13,4,5,130.071
14,5,9,90.0
19,13,6,110.0
16,16,3,120.0
3,4,12,110.096
9,7,9,90.1
10,8,9,90.0
6,12,5,50.0
2,15,3,40.0
13,15,5,40.0
14,16,11,110.0
15,17,3,30.0
24,25,5,60.0
2,30,3,100.0
38,33,9,90.0
43,49,10,130.0
51,65,10,100.0
2,67,3,40.0
13,3,2,60.0
2,4,2,100.0
3,4,9,100.1
5,8,3,70.0
19,10,8,90.0
12,12,8,90.0
14,16,10,150.0
5,21,3,50.0
29,32,11,100.0
30,33,8,100.0
22,13,8,60.0
5,15,5,80.0
6,15,3,80.0
12,15,5,80.0
14,15,7,80.0
20,15,6,80.0
16,17,10,100.0
3,7,5,80.0
8,10,4,40.0
19,12,3,20.0
20,17,5,100.0
2,2,9,80.207
4,5,6,90.093
5,6,4,40.0
3,7,4,70.0
9,16,2,70.0
15,19,2,30.0
9,30,2,50.0
26,33,8,70.0
0,2,2,70.0
10,2,3,70.0
10,5,3,60.0
11,8,10,90.0
13,10,2,20.0
22,20,2,20.0
22,21,2,40.0
22,22,2,80.0
25,22,8,80.0
1,1,6,140.0
3,4,4,60.143
14,8,5,50.0
15,21,4,80.0
23,24,9,60.0
